question,answer
give me info on what is the rainy season?,it runs from may to october
hi internet in cambodia immediately.,wifi is common and local sim cards are cheap
what is the time zone for me.,cambodia is gmt plus seven
please tell me where is angkor wat for me.,angkor wat is in siem reap cambodia
search for what is angkor wat specifically.,it is a famous temple in cambodia
what to do in siem reap immediately.,you can visit temples and night market
give me details on where is bayon temple today.,bayon temple is in the center of angkor thom
hey what is ta prohm specifically.,it is the jungle temple with giant trees in siem reap
can you tell me how much is angkor pass thanks.,a 1-day pass is 37 dollars and a 3-day pass is 62 dollars
tell me something about where to watch sunset in siem reap for me.,phnom bakheng is the most popular spot for sunset
could you explain what is pub street today.,it is the nightlife hub of siem reap with bars and food
can you tell me is tonle sap near siem reap?,yes it is the largest freshwater lake near siem reap
looking for best time to visit temples?,early morning at sunrise is the best time
can you explain where is banteay srei right now.,it is a pink sandstone temple 35km from siem reap
info on what is angkor thom,it was the last capital city of the khmer empire
any idea where where is koh ker specifically.,it is a pyramid temple north of siem reap
can you tell me is beng mealea far,it is about 60km east of siem reap city
hi can i visit preah khan?,yes preah khan is a large monastic complex in angkor
hi what is the terrace of elephants right now.,it is part of the ancient royal city of angkor thom
what about is angkor wat open today?,angkor wat is open daily from 5 am to 5:30 pm
give me details on where is phnom penh for me.,phnom penh is the capital city of cambodia
briefly explain what to see in phnom penh today.,visit the royal palace and the national museum
tell me where is the royal palace today.,it is located along the riverside in phnom penh
info on what is the silver pagoda right now.,it is a temple in the royal palace with a silver floor
do you know where are the killing fields right now.,choeung ek is about 15 kilometers from phnom penh
find what is s21 prison right now.,tuol sleng is a former prison museum in phnom penh
i want to know where is wat phnom right now.,it is a hilltop temple that gives the capital its name
tell me something about best place for shopping in phnom penh immediately.,central market and russian market are the best
info on where is the riverside,it is the sisowath quay area along the tonle sap river
do you know how to get around phnom penh immediately.,passapp or grab for tuk tuks is the easiest way
i want to know is phnom penh safe at night immediately.,it is generally safe but watch your belongings
can you explain where is the independence monument right now.,it is at the intersection of norodom and sihanouk boulevards
i am curious about where are the best beaches if you can.,koh rong and koh rong samloem have the best beaches
please tell me how to get to koh rong immediately.,you can take a speed ferry from sihanoukville
what to do in kampot thanks.,visit pepper farms and take a river cruise
can you explain where is bokor mountain thank you.,it is a cool hill station near kampot city
hi is kep famous for food for me.,yes kep is famous for fresh blue crab with pepper
hi what is rabbit island today.,koh tonsay is a quiet island near kep
find is sihanoukville good for islands,yes it is the main gateway to koh rong and koh rong samloem
tell me what is kampot pepper immediately.,it is world famous high quality pepper from cambodia
what about can i swim in sihanoukville please.,"yes, victory beach and sokha beach are popular spots"
i am curious about where can i see dolphins for me.,you can see freshwater dolphins in kratie
give me details on what to do in mondulkiri,visit elephant sanctuaries and busra waterfall
any idea where is mondulkiri cold if you can.,it is much cooler than the rest of cambodia
give me info on where is yeak laom lake?,it is a volcanic lake in rattanakiri province
search for what to see in kratie thanks.,the irrawaddy dolphins and kampi rapids
hi where is preah vihear temple for me.,it is on a cliff in the north near the thai border
teach me about is sambor prei kuk old?,yes it is a pre-angkorian site in kampong thom
looking for where is the killing caves if you can.,they are located on phnom sampeau in battambang
looking for what is phnom chi right now.,it is a mountain for hiking in kampong thom
give me info on best time to visit cambodia,november to february is the best time
can you tell me what currency is used,the currency is riel and us dollar
do people speak english today.,many people speak basic english in tourist areas
info on what food should i try?,you should try amok and lok lak
please tell me is cambodia safe thanks.,it is generally safe for tourists
i want to know how to travel in cambodia please.,you can use tuk tuk or taxi
search for do i need a visa?,most tourists need a visa or an e-visa
can you tell me what is the water festival specifically.,bon om touk is a festival with boat racing
search for when is khmer new year,it is usually celebrated in mid-april
briefly explain is the water safe to drink thanks.,it is better to drink bottled or filtered water
i am curious about how to say hello in khmer immediately.,you say sarsday or chum reap suor
could you explain how to say thank you immediately.,you say orkun in khmer
teach me about what is the local beer please.,angkor beer and cambodia beer are popular
hey can i wear shorts in temples thank you.,you should cover your knees and shoulders
tell me something about what is the rainy season if you can.,it runs from may to october
do you know internet in cambodia if you can.,wifi is common and local sim cards are cheap
give me details on what is the time zone thanks.,cambodia is gmt plus seven
i want to know where is angkor wat specifically.,angkor wat is in siem reap cambodia
hi what is angkor wat immediately.,it is a famous temple in cambodia
what to do in siem reap for me.,you can visit temples and night market
info on where is bayon temple today.,bayon temple is in the center of angkor thom
teach me about what is ta prohm if you can.,it is the jungle temple with giant trees in siem reap
give me details on how much is angkor pass for me.,a 1-day pass is 37 dollars and a 3-day pass is 62 dollars
any idea where where to watch sunset in siem reap if you can.,phnom bakheng is the most popular spot for sunset
hi what is pub street if you can.,it is the nightlife hub of siem reap with bars and food
can you tell me is tonle sap near siem reap,yes it is the largest freshwater lake near siem reap
can you explain best time to visit temples today.,early morning at sunrise is the best time
i want to know where is banteay srei?,it is a pink sandstone temple 35km from siem reap
can you explain where is koh ker,it is a pyramid temple north of siem reap
what about is beng mealea far if you can.,it is about 60km east of siem reap city
any idea where can i visit preah khan if you can.,yes preah khan is a large monastic complex in angkor
tell me what is the terrace of elephants right now.,it is part of the ancient royal city of angkor thom
hi how do i get to angkor wat if you can.,"you can take a tuk tuk, car, or bicycle from siem reap city"
teach me about is angkor wat open today?,angkor wat is open daily from 5 am to 5:30 pm
where is phnom penh please.,phnom penh is the capital city of cambodia
please tell me what to see in phnom penh thank you.,visit the royal palace and the national museum
tell me something about where is the royal palace thank you.,it is located along the riverside in phnom penh
briefly explain what is the silver pagoda thank you.,it is a temple in the royal palace with a silver floor
tell me something about where are the killing fields,choeung ek is about 15 kilometers from phnom penh
could you explain what is s21 prison?,tuol sleng is a former prison museum in phnom penh
hey where is wat phnom thanks.,it is a hilltop temple that gives the capital its name
best place for shopping in phnom penh if you can.,central market and russian market are the best
i want to know where is the riverside immediately.,it is the sisowath quay area along the tonle sap river
teach me about how to get around phnom penh immediately.,passapp or grab for tuk tuks is the easiest way
do you know is phnom penh safe at night?,it is generally safe but watch your belongings
give me info on where is the independence monument thank you.,it is at the intersection of norodom and sihanouk boulevards
info on where are the best beaches specifically.,koh rong and koh rong samloem have the best beaches
i want to know how to get to koh rong if you can.,you can take a speed ferry from sihanoukville
can you tell me what to do in kampot if you can.,visit pepper farms and take a river cruise
info on where is bokor mountain today.,it is a cool hill station near kampot city
teach me about is kep famous for food thanks.,yes kep is famous for fresh blue crab with pepper
can you explain what is rabbit island thanks.,koh tonsay is a quiet island near kep
hi where is otres beach immediately.,it is a quieter beach area in sihanoukville
info on is sihanoukville good for islands right now.,yes it is the main gateway to koh rong and koh rong samloem
can you tell me can i swim in sihanoukville immediately.,"yes, victory beach and sokha beach are popular spots"
i want to know where can i see dolphins today.,you can see freshwater dolphins in kratie
search for is mondulkiri cold thanks.,it is much cooler than the rest of cambodia
info on where is yeak laom lake immediately.,it is a volcanic lake in rattanakiri province
give me info on what to see in kratie today.,the irrawaddy dolphins and kampi rapids
could you explain where is preah vihear temple thank you.,it is on a cliff in the north near the thai border
what about is sambor prei kuk old?,yes it is a pre-angkorian site in kampong thom
please tell me what is battambang known for please.,it is famous for the bamboo train and caves
i want to know where is the killing caves,they are located on phnom sampeau in battambang
what about can i see bats in battambang today.,yes millions of bats fly out of caves at sunset
i am curious about where is kapi falls specifically.,it is a scenic spot in mondulkiri
teach me about what currency is used?,the currency is riel and us dollar
info on do people speak english today.,many people speak basic english in tourist areas
briefly explain what food should i try specifically.,you should try amok and lok lak
looking for is cambodia safe thanks.,it is generally safe for tourists
give me info on how to travel in cambodia thank you.,you can use tuk tuk or taxi
i am curious about do i need a visa immediately.,most tourists need a visa or an e-visa
hi is the water safe to drink right now.,it is better to drink bottled or filtered water
i am curious about how to say thank you if you can.,you say orkun in khmer
can you explain is there grab in cambodia immediately.,yes grab and passapp are widely used
hey what is the local beer immediately.,angkor beer and cambodia beer are popular
give me info on can i wear shorts in temples immediately.,you should cover your knees and shoulders
can you tell me is cambodia expensive thanks.,it is very affordable for most travelers
give me details on what is the rainy season immediately.,it runs from may to october
hi internet in cambodia thanks.,wifi is common and local sim cards are cheap
give me details on what is the time zone right now.,cambodia is gmt plus seven
teach me about where is angkor wat if you can.,angkor wat is in siem reap cambodia
could you explain what is angkor wat for me.,it is a famous temple in cambodia
find what to do in siem reap,you can visit temples and night market
give me info on where is bayon temple if you can.,bayon temple is in the center of angkor thom
find what is ta prohm thanks.,it is the jungle temple with giant trees in siem reap
info on how much is angkor pass thanks.,a 1-day pass is 37 dollars and a 3-day pass is 62 dollars
please tell me where to watch sunset in siem reap right now.,phnom bakheng is the most popular spot for sunset
briefly explain what is pub street for me.,it is the nightlife hub of siem reap with bars and food
tell me something about is tonle sap near siem reap right now.,yes it is the largest freshwater lake near siem reap
what about best time to visit temples thank you.,early morning at sunrise is the best time
where is banteay srei right now.,it is a pink sandstone temple 35km from siem reap
hi what is angkor thom if you can.,it was the last capital city of the khmer empire
hey where is koh ker for me.,it is a pyramid temple north of siem reap
hey is beng mealea far?,it is about 60km east of siem reap city
can you tell me can i visit preah khan if you can.,yes preah khan is a large monastic complex in angkor
can you tell me what is the terrace of elephants?,it is part of the ancient royal city of angkor thom
do you know how do i get to angkor wat thank you.,"you can take a tuk tuk, car, or bicycle from siem reap city"
give me details on is angkor wat open today specifically.,angkor wat is open daily from 5 am to 5:30 pm
give me info on where is phnom penh,phnom penh is the capital city of cambodia
any idea where what to see in phnom penh right now.,visit the royal palace and the national museum
info on where is the royal palace?,it is located along the riverside in phnom penh
any idea where what is the silver pagoda thanks.,it is a temple in the royal palace with a silver floor
hi where are the killing fields thank you.,choeung ek is about 15 kilometers from phnom penh
give me info on best place for shopping in phnom penh specifically.,central market and russian market are the best
briefly explain where is the riverside immediately.,it is the sisowath quay area along the tonle sap river
could you explain how to get around phnom penh please.,passapp or grab for tuk tuks is the easiest way
hey is phnom penh safe at night right now.,it is generally safe but watch your belongings
can you tell me where is the independence monument for me.,it is at the intersection of norodom and sihanouk boulevards
do you know where are the best beaches,koh rong and koh rong samloem have the best beaches
what about how to get to koh rong please.,you can take a speed ferry from sihanoukville
teach me about what to do in kampot please.,visit pepper farms and take a river cruise
looking for where is bokor mountain thank you.,it is a cool hill station near kampot city
i want to know is kep famous for food today.,yes kep is famous for fresh blue crab with pepper
can you tell me what is rabbit island immediately.,koh tonsay is a quiet island near kep
search for where is otres beach please.,it is a quieter beach area in sihanoukville
hi is sihanoukville good for islands thanks.,yes it is the main gateway to koh rong and koh rong samloem
can you explain what is kampot pepper right now.,it is world famous high quality pepper from cambodia
any idea where can i swim in sihanoukville specifically.,"yes, victory beach and sokha beach are popular spots"
what about where can i see dolphins specifically.,you can see freshwater dolphins in kratie
what about is mondulkiri cold?,it is much cooler than the rest of cambodia
give me details on where is yeak laom lake for me.,it is a volcanic lake in rattanakiri province
hey what to see in kratie immediately.,the irrawaddy dolphins and kampi rapids
give me info on is sambor prei kuk old?,yes it is a pre-angkorian site in kampong thom
teach me about what is battambang known for please.,it is famous for the bamboo train and caves
i want to know where is the killing caves thanks.,they are located on phnom sampeau in battambang
info on can i see bats in battambang for me.,yes millions of bats fly out of caves at sunset
can you explain what is phnom chi?,it is a mountain for hiking in kampong thom
hey where is kapi falls thank you.,it is a scenic spot in mondulkiri
give me info on best time to visit cambodia right now.,november to february is the best time
tell me something about what currency is used please.,the currency is riel and us dollar
tell me something about do people speak english if you can.,many people speak basic english in tourist areas
info on what food should i try right now.,you should try amok and lok lak
teach me about is cambodia safe,it is generally safe for tourists
find how to travel in cambodia please.,you can use tuk tuk or taxi
looking for do i need a visa please.,most tourists need a visa or an e-visa
find what is the water festival immediately.,bon om touk is a festival with boat racing
i am curious about when is khmer new year specifically.,it is usually celebrated in mid-april
please tell me is the water safe to drink specifically.,it is better to drink bottled or filtered water
tell me something about how to say hello in khmer specifically.,you say sarsday or chum reap suor
could you explain how to say thank you specifically.,you say orkun in khmer
i want to know is there grab in cambodia thanks.,yes grab and passapp are widely used
hey what is the local beer today.,angkor beer and cambodia beer are popular
find can i wear shorts in temples please.,you should cover your knees and shoulders
find is cambodia expensive for me.,it is very affordable for most travelers
do you know what is the rainy season immediately.,it runs from may to october
any idea where internet in cambodia thanks.,wifi is common and local sim cards are cheap
give me details on what is the time zone specifically.,cambodia is gmt plus seven
search for where is angkor wat?,angkor wat is in siem reap cambodia
give me details on what is angkor wat today.,it is a famous temple in cambodia
give me info on what to do in siem reap specifically.,you can visit temples and night market
what about where is bayon temple,bayon temple is in the center of angkor thom
find what is ta prohm please.,it is the jungle temple with giant trees in siem reap
give me info on how much is angkor pass please.,a 1-day pass is 37 dollars and a 3-day pass is 62 dollars
what about where to watch sunset in siem reap specifically.,phnom bakheng is the most popular spot for sunset
do you know is tonle sap near siem reap if you can.,yes it is the largest freshwater lake near siem reap
briefly explain best time to visit temples please.,early morning at sunrise is the best time
looking for where is banteay srei thanks.,it is a pink sandstone temple 35km from siem reap
any idea where what is angkor thom for me.,it was the last capital city of the khmer empire
please tell me where is koh ker please.,it is a pyramid temple north of siem reap
any idea where is beng mealea far immediately.,it is about 60km east of siem reap city
can i visit preah khan please.,yes preah khan is a large monastic complex in angkor
give me details on what is the terrace of elephants immediately.,it is part of the ancient royal city of angkor thom
briefly explain how do i get to angkor wat,"you can take a tuk tuk, car, or bicycle from siem reap city"
tell me something about is angkor wat open today right now.,angkor wat is open daily from 5 am to 5:30 pm
search for where is phnom penh today.,phnom penh is the capital city of cambodia
please tell me what to see in phnom penh please.,visit the royal palace and the national museum
give me info on where is the royal palace,it is located along the riverside in phnom penh
find what is the silver pagoda today.,it is a temple in the royal palace with a silver floor
please tell me where are the killing fields today.,choeung ek is about 15 kilometers from phnom penh
search for what is s21 prison?,tuol sleng is a former prison museum in phnom penh
could you explain where is wat phnom immediately.,it is a hilltop temple that gives the capital its name
give me info on best place for shopping in phnom penh if you can.,central market and russian market are the best
how to get around phnom penh specifically.,passapp or grab for tuk tuks is the easiest way
i am curious about is phnom penh safe at night immediately.,it is generally safe but watch your belongings
briefly explain where is the independence monument for me.,it is at the intersection of norodom and sihanouk boulevards
search for where are the best beaches thanks.,koh rong and koh rong samloem have the best beaches
search for how to get to koh rong thanks.,you can take a speed ferry from sihanoukville
i am curious about what to do in kampot,visit pepper farms and take a river cruise
give me details on where is bokor mountain,it is a cool hill station near kampot city
do you know is kep famous for food thank you.,yes kep is famous for fresh blue crab with pepper
info on what is rabbit island today.,koh tonsay is a quiet island near kep
hey where is otres beach right now.,it is a quieter beach area in sihanoukville
briefly explain is sihanoukville good for islands for me.,yes it is the main gateway to koh rong and koh rong samloem
what about what is kampot pepper for me.,it is world famous high quality pepper from cambodia
tell me can i swim in sihanoukville thanks.,"yes, victory beach and sokha beach are popular spots"
teach me about where can i see dolphins today.,you can see freshwater dolphins in kratie
hi what to do in mondulkiri for me.,visit elephant sanctuaries and busra waterfall
search for is mondulkiri cold right now.,it is much cooler than the rest of cambodia
could you explain where is yeak laom lake for me.,it is a volcanic lake in rattanakiri province
can you tell me what to see in kratie if you can.,the irrawaddy dolphins and kampi rapids
where is preah vihear temple please.,it is on a cliff in the north near the thai border
teach me about is sambor prei kuk old for me.,yes it is a pre-angkorian site in kampong thom
what is battambang known for right now.,it is famous for the bamboo train and caves
search for where is the killing caves immediately.,they are located on phnom sampeau in battambang
any idea where can i see bats in battambang please.,yes millions of bats fly out of caves at sunset
any idea where what is phnom chi please.,it is a mountain for hiking in kampong thom
best time to visit cambodia right now.,november to february is the best time
give me info on what currency is used for me.,the currency is riel and us dollar
find do people speak english please.,many people speak basic english in tourist areas
hey how to travel in cambodia,you can use tuk tuk or taxi
i want to know do i need a visa specifically.,most tourists need a visa or an e-visa
tell me what is the water festival?,bon om touk is a festival with boat racing
looking for when is khmer new year?,it is usually celebrated in mid-april
info on is the water safe to drink specifically.,it is better to drink bottled or filtered water
what about how to say hello in khmer?,you say sarsday or chum reap suor
info on how to say thank you immediately.,you say orkun in khmer
i want to know what is the local beer right now.,angkor beer and cambodia beer are popular
info on can i wear shorts in temples thank you.,you should cover your knees and shoulders
any idea where is cambodia expensive if you can.,it is very affordable for most travelers
i want to know what is the rainy season today.,it runs from may to october
give me info on internet in cambodia specifically.,wifi is common and local sim cards are cheap
info on what is the time zone?,cambodia is gmt plus seven
i want to know where is angkor wat thanks.,angkor wat is in siem reap cambodia
search for what is angkor wat please.,it is a famous temple in cambodia
what about what to do in siem reap?,you can visit temples and night market
hey where is bayon temple,bayon temple is in the center of angkor thom
give me details on what is ta prohm?,it is the jungle temple with giant trees in siem reap
any idea where how much is angkor pass for me.,a 1-day pass is 37 dollars and a 3-day pass is 62 dollars
i want to know where to watch sunset in siem reap specifically.,phnom bakheng is the most popular spot for sunset
teach me about what is pub street right now.,it is the nightlife hub of siem reap with bars and food
do you know is tonle sap near siem reap thank you.,yes it is the largest freshwater lake near siem reap
best time to visit temples thank you.,early morning at sunrise is the best time
give me details on what is angkor thom immediately.,it was the last capital city of the khmer empire
give me info on where is koh ker,it is a pyramid temple north of siem reap
tell me something about is beng mealea far specifically.,it is about 60km east of siem reap city
teach me about can i visit preah khan specifically.,yes preah khan is a large monastic complex in angkor
please tell me what is the terrace of elephants immediately.,it is part of the ancient royal city of angkor thom
how do i get to angkor wat please.,"you can take a tuk tuk, car, or bicycle from siem reap city"
give me details on is angkor wat open today right now.,angkor wat is open daily from 5 am to 5:30 pm
give me info on where is phnom penh specifically.,phnom penh is the capital city of cambodia
briefly explain what to see in phnom penh immediately.,visit the royal palace and the national museum
can you explain where is the royal palace for me.,it is located along the riverside in phnom penh
could you explain what is the silver pagoda if you can.,it is a temple in the royal palace with a silver floor
briefly explain where are the killing fields today.,choeung ek is about 15 kilometers from phnom penh
teach me about what is s21 prison specifically.,tuol sleng is a former prison museum in phnom penh
briefly explain where is wat phnom right now.,it is a hilltop temple that gives the capital its name
looking for best place for shopping in phnom penh thank you.,central market and russian market are the best
find where is the riverside thank you.,it is the sisowath quay area along the tonle sap river
find how to get around phnom penh?,passapp or grab for tuk tuks is the easiest way
can you explain is phnom penh safe at night specifically.,it is generally safe but watch your belongings
what about where is the independence monument please.,it is at the intersection of norodom and sihanouk boulevards
could you explain where are the best beaches right now.,koh rong and koh rong samloem have the best beaches
tell me how to get to koh rong thank you.,you can take a speed ferry from sihanoukville
could you explain what to do in kampot?,visit pepper farms and take a river cruise
give me info on where is bokor mountain please.,it is a cool hill station near kampot city
do you know is kep famous for food?,yes kep is famous for fresh blue crab with pepper
search for what is rabbit island for me.,koh tonsay is a quiet island near kep
what about where is otres beach specifically.,it is a quieter beach area in sihanoukville
briefly explain is sihanoukville good for islands immediately.,yes it is the main gateway to koh rong and koh rong samloem
hey what is kampot pepper immediately.,it is world famous high quality pepper from cambodia
can you explain can i swim in sihanoukville please.,"yes, victory beach and sokha beach are popular spots"
hi where can i see dolphins please.,you can see freshwater dolphins in kratie
do you know what to do in mondulkiri?,visit elephant sanctuaries and busra waterfall
hey is mondulkiri cold thanks.,it is much cooler than the rest of cambodia
do you know where is yeak laom lake immediately.,it is a volcanic lake in rattanakiri province
give me info on what to see in kratie,the irrawaddy dolphins and kampi rapids
can you explain where is preah vihear temple if you can.,it is on a cliff in the north near the thai border
hi is sambor prei kuk old please.,yes it is a pre-angkorian site in kampong thom
find what is battambang known for if you can.,it is famous for the bamboo train and caves
find can i see bats in battambang today.,yes millions of bats fly out of caves at sunset
teach me about what is phnom chi right now.,it is a mountain for hiking in kampong thom
looking for where is kapi falls today.,it is a scenic spot in mondulkiri
tell me something about best time to visit cambodia thanks.,november to february is the best time
info on what currency is used please.,the currency is riel and us dollar
any idea where do people speak english right now.,many people speak basic english in tourist areas
what about what food should i try today.,you should try amok and lok lak
hi how to travel in cambodia if you can.,you can use tuk tuk or taxi
teach me about do i need a visa,most tourists need a visa or an e-visa
can you tell me what is the water festival if you can.,bon om touk is a festival with boat racing
could you explain when is khmer new year thanks.,it is usually celebrated in mid-april
what about is the water safe to drink specifically.,it is better to drink bottled or filtered water
any idea where how to say hello in khmer today.,you say sarsday or chum reap suor
hi how to say thank you?,you say orkun in khmer
please tell me is there grab in cambodia?,yes grab and passapp are widely used
info on what is the local beer?,angkor beer and cambodia beer are popular
what about can i wear shorts in temples thanks.,you should cover your knees and shoulders
hey is cambodia expensive,it is very affordable for most travelers
teach me about what is the rainy season?,it runs from may to october
give me details on internet in cambodia?,wifi is common and local sim cards are cheap
hi what is the time zone specifically.,cambodia is gmt plus seven
give me info on where is angkor wat thank you.,angkor wat is in siem reap cambodia
looking for what is angkor wat for me.,it is a famous temple in cambodia
give me info on what to do in siem reap right now.,you can visit temples and night market
tell me where is bayon temple if you can.,bayon temple is in the center of angkor thom
briefly explain what is ta prohm thanks.,it is the jungle temple with giant trees in siem reap
do you know how much is angkor pass if you can.,a 1-day pass is 37 dollars and a 3-day pass is 62 dollars
hi where to watch sunset in siem reap,phnom bakheng is the most popular spot for sunset
find what is pub street if you can.,it is the nightlife hub of siem reap with bars and food
tell me is tonle sap near siem reap if you can.,yes it is the largest freshwater lake near siem reap
i am curious about where is banteay srei specifically.,it is a pink sandstone temple 35km from siem reap
search for what is angkor thom?,it was the last capital city of the khmer empire
find where is koh ker please.,it is a pyramid temple north of siem reap
teach me about is beng mealea far today.,it is about 60km east of siem reap city
i want to know can i visit preah khan specifically.,yes preah khan is a large monastic complex in angkor
i want to know what is the terrace of elephants right now.,it is part of the ancient royal city of angkor thom
can you tell me how do i get to angkor wat thanks.,"you can take a tuk tuk, car, or bicycle from siem reap city"
can you tell me is angkor wat open today for me.,angkor wat is open daily from 5 am to 5:30 pm
info on where is phnom penh?,phnom penh is the capital city of cambodia
any idea where what to see in phnom penh,visit the royal palace and the national museum
tell me where is the royal palace thanks.,it is located along the riverside in phnom penh
give me info on what is the silver pagoda thank you.,it is a temple in the royal palace with a silver floor
please tell me where are the killing fields immediately.,choeung ek is about 15 kilometers from phnom penh
info on what is s21 prison right now.,tuol sleng is a former prison museum in phnom penh
can you tell me where is wat phnom today.,it is a hilltop temple that gives the capital its name
please tell me best place for shopping in phnom penh for me.,central market and russian market are the best
please tell me where is the riverside specifically.,it is the sisowath quay area along the tonle sap river
do you know how to get around phnom penh?,passapp or grab for tuk tuks is the easiest way
tell me is phnom penh safe at night specifically.,it is generally safe but watch your belongings
could you explain where is the independence monument right now.,it is at the intersection of norodom and sihanouk boulevards
info on where are the best beaches please.,koh rong and koh rong samloem have the best beaches
search for how to get to koh rong if you can.,you can take a speed ferry from sihanoukville
give me details on what to do in kampot specifically.,visit pepper farms and take a river cruise
find where is bokor mountain today.,it is a cool hill station near kampot city
give me details on is kep famous for food thank you.,yes kep is famous for fresh blue crab with pepper
give me details on what is rabbit island specifically.,koh tonsay is a quiet island near kep
teach me about where is otres beach thanks.,it is a quieter beach area in sihanoukville
hi is sihanoukville good for islands if you can.,yes it is the main gateway to koh rong and koh rong samloem
looking for what is kampot pepper thanks.,it is world famous high quality pepper from cambodia
what about can i swim in sihanoukville today.,"yes, victory beach and sokha beach are popular spots"
what about where can i see dolphins right now.,you can see freshwater dolphins in kratie
do you know what to do in mondulkiri,visit elephant sanctuaries and busra waterfall
can you explain is mondulkiri cold specifically.,it is much cooler than the rest of cambodia
search for where is yeak laom lake,it is a volcanic lake in rattanakiri province
what to see in kratie,the irrawaddy dolphins and kampi rapids
can you explain is sambor prei kuk old?,yes it is a pre-angkorian site in kampong thom
info on what is battambang known for if you can.,it is famous for the bamboo train and caves
i am curious about where is the killing caves if you can.,they are located on phnom sampeau in battambang
give me info on can i see bats in battambang thank you.,yes millions of bats fly out of caves at sunset
i want to know what is phnom chi thanks.,it is a mountain for hiking in kampong thom
can you tell me where is kapi falls immediately.,it is a scenic spot in mondulkiri
info on best time to visit cambodia specifically.,november to february is the best time
find what currency is used specifically.,the currency is riel and us dollar
could you explain do people speak english please.,many people speak basic english in tourist areas
what food should i try right now.,you should try amok and lok lak
any idea where is cambodia safe thank you.,it is generally safe for tourists
info on how to travel in cambodia right now.,you can use tuk tuk or taxi
teach me about do i need a visa immediately.,most tourists need a visa or an e-visa
could you explain what is the water festival if you can.,bon om touk is a festival with boat racing
give me info on when is khmer new year please.,it is usually celebrated in mid-april
what about is the water safe to drink if you can.,it is better to drink bottled or filtered water
i am curious about how to say thank you right now.,you say orkun in khmer
info on is there grab in cambodia thank you.,yes grab and passapp are widely used
find what is the local beer thanks.,angkor beer and cambodia beer are popular
please tell me can i wear shorts in temples if you can.,you should cover your knees and shoulders
give me info on is cambodia expensive specifically.,it is very affordable for most travelers
briefly explain what is the rainy season thanks.,it runs from may to october
can you explain internet in cambodia for me.,wifi is common and local sim cards are cheap
teach me about what is the time zone immediately.,cambodia is gmt plus seven
what about where is angkor wat please.,angkor wat is in siem reap cambodia
can you explain what is angkor wat specifically.,it is a famous temple in cambodia
briefly explain what to do in siem reap today.,you can visit temples and night market
looking for where is bayon temple?,bayon temple is in the center of angkor thom
teach me about how much is angkor pass,a 1-day pass is 37 dollars and a 3-day pass is 62 dollars
find where to watch sunset in siem reap today.,phnom bakheng is the most popular spot for sunset
find is tonle sap near siem reap if you can.,yes it is the largest freshwater lake near siem reap
best time to visit temples specifically.,early morning at sunrise is the best time
what about where is banteay srei for me.,it is a pink sandstone temple 35km from siem reap
give me info on what is angkor thom right now.,it was the last capital city of the khmer empire
can you tell me where is koh ker thank you.,it is a pyramid temple north of siem reap
looking for is beng mealea far specifically.,it is about 60km east of siem reap city
what about can i visit preah khan specifically.,yes preah khan is a large monastic complex in angkor
do you know what is the terrace of elephants for me.,it is part of the ancient royal city of angkor thom
please tell me how do i get to angkor wat specifically.,"you can take a tuk tuk, car, or bicycle from siem reap city"
could you explain is angkor wat open today thank you.,angkor wat is open daily from 5 am to 5:30 pm
can you tell me where is phnom penh for me.,phnom penh is the capital city of cambodia
can you explain what to see in phnom penh please.,visit the royal palace and the national museum
i want to know where is the royal palace specifically.,it is located along the riverside in phnom penh
briefly explain what is the silver pagoda right now.,it is a temple in the royal palace with a silver floor
tell me something about where are the killing fields?,choeung ek is about 15 kilometers from phnom penh
briefly explain what is s21 prison,tuol sleng is a former prison museum in phnom penh
i want to know where is wat phnom today.,it is a hilltop temple that gives the capital its name
search for where is the riverside if you can.,it is the sisowath quay area along the tonle sap river
tell me something about how to get around phnom penh right now.,passapp or grab for tuk tuks is the easiest way
give me info on is phnom penh safe at night right now.,it is generally safe but watch your belongings
any idea where where is the independence monument today.,it is at the intersection of norodom and sihanouk boulevards
can you explain how to get to koh rong please.,you can take a speed ferry from sihanoukville
tell me something about what to do in kampot immediately.,visit pepper farms and take a river cruise
i am curious about where is bokor mountain immediately.,it is a cool hill station near kampot city
give me info on is kep famous for food?,yes kep is famous for fresh blue crab with pepper
teach me about what is rabbit island?,koh tonsay is a quiet island near kep
tell me where is otres beach thanks.,it is a quieter beach area in sihanoukville
info on is sihanoukville good for islands thank you.,yes it is the main gateway to koh rong and koh rong samloem
tell me something about what is kampot pepper please.,it is world famous high quality pepper from cambodia
can you explain can i swim in sihanoukville?,"yes, victory beach and sokha beach are popular spots"
hey where can i see dolphins for me.,you can see freshwater dolphins in kratie
tell me is mondulkiri cold thanks.,it is much cooler than the rest of cambodia
give me details on where is yeak laom lake please.,it is a volcanic lake in rattanakiri province
any idea where what to see in kratie today.,the irrawaddy dolphins and kampi rapids
could you explain where is preah vihear temple immediately.,it is on a cliff in the north near the thai border
find is sambor prei kuk old,yes it is a pre-angkorian site in kampong thom
can you explain where is the killing caves today.,they are located on phnom sampeau in battambang
teach me about can i see bats in battambang today.,yes millions of bats fly out of caves at sunset
hi what is phnom chi thank you.,it is a mountain for hiking in kampong thom
info on where is kapi falls?,it is a scenic spot in mondulkiri
briefly explain best time to visit cambodia thanks.,november to february is the best time
do you know do people speak english thanks.,many people speak basic english in tourist areas
